year,month,58504f5d006cb93ed40eec39,58504f5d006cb93ed40eec3b,58504f5d006cb93ed40eec3a,58504f5d006cb93ed40eec55,58504f5d006cb93ed40eec5a,58504f5d006cb93ed40eec3c,58504f5d006cb93ed40eec3d,58504f5d006cb93ed40eec3e,58504f5d006cb93ed40eec40,58504f5d006cb93ed40eec3f,58504f5d006cb93ed40eec41,58504f5d006cb93ed40eec42,58504f5d006cb93ed40eec43,58504f5d006cb93ed40eec44,58504f5d006cb93ed40eec45,58504f5d006cb93ed40eec46,58504f5d006cb93ed40eec49,58504f5d006cb93ed40eec47,58504f5d006cb93ed40eec48,58504f5d006cb93ed40eec4b,58504f5d006cb93ed40eec4a,58504f5d006cb93ed40eec4c,58504f5d006cb93ed40eec4d,58504f5d006cb93ed40eec4e,58504f5d006cb93ed40eec4f,58504f5d006cb93ed40eec50,58504f5d006cb93ed40eec51,58504f5d006cb93ed40eec52,58504f5d006cb93ed40eec54,58504f5d006cb93ed40eec56,58504f5d006cb93ed40eec53,58504f5d006cb93ed40eec57,58504f5d006cb93ed40eec59,58504f5d006cb93ed40eec58
1981,1,98,49.0757564,58,46,47,76.4,68,96,34.9,17,32.5,36.0700178,59.18063667,27,30,113,60.5,7,58.9,10.6,63,60,38.8,99.9,63.4,83,64.5,72,79,67.1,40.5,69.6,10,45
1981,2,94,118.6748562,82.5,85,188,273.6,148,150,148.5,208,147.7,107.2793271,174.8274039,131,294,149,143.3,143,145.1,163.5,119,125,153.3,158.6,187.3,127,110,269,152.4,298.8,141.8,189.2,310,281
1981,3,126.6595242,129.627441,155.8,95,101,160.8,151,135,180.3,137,179.3,56.97605578,185.5983789,69,170,122,36.6,62,31.8,25.8,78,76,108.3,105.3,100.1,35,58.5,200,154.3,127.3,100.8,40.3,146,133
1981,4,193.1073618,199.0180557,282,343,435,417.6,284,152,303.8,329,252.9,282.7237541,308.0387827,395,413,299,288.9,502.1,249.9,239.4,328,229.6,255.3,268.4,271,125.7,329,547,493.8,305.3,233.9,193.4,400,476
1981,5,266.9424437,275.0653731,284.7,317,405,492.2,294,221,332.7,280,341.2,324.2055909,467.196012,400,320,347,384.2,331.9,332.7,278.1,428,259.1,324.8,394.7,431.4,301.6,298,560,359.3,428.2,343.7,210.4,656,497
1981,6,28.7830291,45.21380206,93,45,51,390.4,105,165,122.2,177,182.3,112.3347682,156.1001793,195,101,103,74.7,81.3,74.1,111.5023612,211,140.7,204.4,256.5,154.2,93,189,211,84.3,115.7,80.4,75.4,93,229
1981,7,14,19.43781149,3.3,21,0,47.1,63,46,83.4,101,31.7,14.2231185,43.61942836,36,28,23,44.4,8.7,54.6,6.6,55,16,50.1,52.7,25.4,12.5,20,77,29.4,87.3,53.2,5.5,20,106
1981,8,20,38.9862036,77.3,137,100,112.7,106,145,46.9,110,134.9,111.8026789,166.2025515,232,97,254,122.2,134.6,160.9,160.0195085,158,204.5,117.7,150.6,197.1,135.1,185,147,96.5,101,171.8,48,162,295
1981,9,13,10.2,7.4,0,5,16.2,12,134,8.4,37,55.9,28.36655243,44.6733914,177,22,57,25.3,65.1,36.4,37.5,21,171,42.7,98.5,218.2,150.9,152,91,24.5,43.7,36.9,3.6,35,72
1981,10,139,215.9,263.2,194,243,360,394,226,333.4,314,304.9,243.0941977,431.1308019,244,267,201,158,280.4,239.5,185.2,285,338,195.3,247.2,338.9,178.9,347,269,416.5,313.9,168.2,307.1,477,453
1981,11,301,529.1,152.3,327,269,328.9,545,182,493.4,257,467.4,135.7908709,374.3557503,310,187,301,132.8,206.9,111.6,60.7,519.5,126,144.1,217.3,169.9,180.7,153,381,336.1,362.5,346.9,375.6,490,481
1981,12,101,172.7,24.2,39,83,185,135,108,177.2,58,161,52.35471144,154.8521506,114,114,88,46.7,269.9,68.8,109.6,58,65,40.3,77,99,49,42,196,197,163.2,63,144.7,225,373
1982,1,104,121.4,41.9,64,4.2,114.4,189,12.1,233.1,211,253.8,57.82727138,122.9858215,180,11.7,64,85.7,135.1,76.7,70.8,128.5,66,56,106.2,80,119.9,68,428,303.3,429.2,147.9,93.7,23.9,42.4
1982,2,134,154.2,157.8,164,18.6,243,308,134,177.5,337,410.1,118.8135931,280.7939099,195,24.5,182,160,193,88.3,140.5,169.8597568,160,107.9,185.4,191.5,212.1,173,372,155.2,305.2,259.8,212.6,23.5,30
1982,3,271,142.8,111.9,139,8,344.4,405,13.7,288,224,266.8,117.4462594,205.7413793,74,7.9,160,99.1,95,202.2,85.3,163.7624479,75,93.4,129.1,78.2,108.2,65,377,281.8,453.5,259.2,92.8,18.7,31.4
1982,4,251,367.4,427.2,344,28.8,314.1,399,141,286.4,314,311.8,256.2136199,359.9909688,208,32.9,342,248,287.5,257.8,221.6,328.9227003,234.3,191.5,172.5,150.9,210.3,191,461,263.3,475.5,372.3,294.2,32.2,37.7
1982,5,129,144.5,361.9,436,34.2,508.4,183,11.8,282.5,288,317,258.9428004,365.6174104,348,35.9,368,239.5,347.9,235.8,300.9,341.406087,401.2,334.8,336.4,272.2,278.1,293,486,218,319.4,331.9,242.5,32.6,31.2
1982,6,0,6.8,21,27,0,44.5,13,5.5,3.2,31,67.7,26.06406192,35.37894705,66,1.5,18,31.2,19.8,28.8,14.8,44.00117309,67.5,67.8,52.4,139.8,50.6,72,27,20.2,100.8,0,52.1,16,12.3
1982,7,0,5.3,2.2,0,0,2.7,19,5.7,16,21,5.8,9.308528141,10.20102282,7,0,0.5,0.9,34.1,1.7,39.6,19.54792116,0,2.3,1.9,19,30.2,0,42,12.4,17,0.1,0.1,0,30
