"day","month","year","t_max","t_min","prec","sol_rad"
1,3,1989,34,19.2,11,23.32454926
2,3,1989,33.5,19.4,0,23.81885609
3,3,1989,29.9,19.4,28,13.21903878
4,3,1989,31.3,19.2,0.8,15.26714543
5,3,1989,24.3,18.4,4.2,9.335324034
6,3,1989,30,18.2,2,20.46825371
7,3,1989,28.2,18.2,0,12.96203818
8,3,1989,30,19.2,0,20.97533605
9,3,1989,31.5,19.2,19,21.62036929
10,3,1989,32.3,19.6,0,19.59483042
11,3,1989,28.7,19.4,3,10.33628242
12,3,1989,30,18.2,10,13.33257369
13,3,1989,29,19.2,33,11.45420364
14,3,1989,26.7,19.2,3,9.416236761
15,3,1989,28.9,18.2,1,12.72919638
16,3,1989,27.8,18.2,0,10.37411667
17,3,1989,30.5,18.4,0,24.08510863
18,3,1989,31,17.8,0,20.15432748
19,3,1989,32.3,16.2,0,23.62756959
20,3,1989,29,17.4,0,15.75325348
21,3,1989,31.3,17.4,0,25.05613511
22,3,1989,31.5,18.2,0,23.48325743
23,3,1989,33,16.4,0,24.74598552
24,3,1989,31,18.4,0,16.55247897
25,3,1989,33.9,18.4,12,24.27319733
26,3,1989,29.5,18.2,0,10.25214005
27,3,1989,31,17.8,4,22.06346212
28,3,1989,24.9,19.8,0,9.465676599
29,3,1989,31.5,16.8,0,22.99910741
30,3,1989,33,15.6,0,25.98145883
31,3,1989,33.7,16.4,13,24.08579653
1,4,1982,31,21,0.6,18.89076926
2,4,1982,30,21,0,13.70047841
3,4,1982,29,21,12.4,11.96875658
4,4,1982,28.6,20,9.3,9.45441363
5,4,1982,27.2,20,7.6,13.99641426
6,4,1982,27,20,1.8,11.48308791
7,4,1982,30.2,20,3.2,13.6680077
8,4,1982,30.2,19,7.2,15.06686561
9,4,1982,30.2,19.4,0.2,12.71327946
10,4,1982,28.4,19.6,18.2,15.35784017
11,4,1982,29.6,19.4,6.5,17.06112843
12,4,1982,28.4,19,0,10.81637754
13,4,1982,30.4,18.4,0,9.407690514
14,4,1982,30.6,18.6,0,16.86097606
15,4,1982,31,18.4,0,17.31069096
16,4,1982,30.6,19.6,8.6,24.73676508
17,4,1982,27.4,20.4,0.8,12.78416007
18,4,1982,30,20.4,4,13.39011266
19,4,1982,31,19.4,0,12.29466264
20,4,1982,30.6,21,2,13.05309811
21,4,1982,26.8,20.4,1,11.34375402
22,4,1982,31,19.4,1.3,16.25527296
23,4,1982,29.6,20.4,0.8,14.3917174
24,4,1982,30.4,19.6,0,10.53818985
25,4,1982,32.6,20,0,19.41292778
26,4,1982,30.4,21,0.3,16.63346813
27,4,1982,31.4,18,2.3,12.79234318
28,4,1982,26.4,18.6,4.6,10.18270921
29,4,1982,28,19.8,0,11.23625808
30,4,1982,30.2,19.2,0.7,11.83013085
1,5,2011,30.0958525345622,19.47536187,0,13.48489279
2,5,2011,32.2958525345622,19.6,1.2,21.19875699
3,5,2011,25.2958525345622,19,1.2,9.209663774
4,5,2011,31.8958525345622,20.6,0.8,18.41703823
5,5,2011,30.0958525345622,19.8,0,9.185774213
6,5,2011,31.8958525345622,19.8,0,19.71975748
7,5,2011,32.6958525345622,21.2,0,19.69090233
8,5,2011,31.6958525345622,19,3.3,13.20432402
9,5,2011,30.8958525345622,21,0,15.28488716
10,5,2011,32.8958525345622,19.8,0,20.35284105
11,5,2011,27.0958525345622,19.2,3.2,9.113035144
12,5,2011,31.2958525345622,20.4,12.2,14.92084901
13,5,2011,31.2958525345622,18.90490135,20.7,11.77074314
14,5,2011,24.8958525345622,19.6,5,9.076823454
15,5,2011,29.2958525345622,19.4,1.3,11.29284063
16,5,2011,30.6958525345622,18.6,1.3,15.72662175
17,5,2011,30.6958525345622,19.2,0,20.59120273
18,5,2011,30.0958525345622,18,0,13.46519826
19,5,2011,30.0958525345622,18.4,0,9.165731304
20,5,2011,31.6958525345622,17.2,10.7,19.62061632
21,5,2011,28.2958525345622,18.4,17.1,16.5027784
22,5,2011,28.0958525345622,19,0.5,12.07128073
23,5,2011,30.8958525345622,19,0.5,20.27603551
24,5,2011,30.8958525345622,18.15305442,11.5,19.22372032
25,5,2011,29.2958525345622,19,0.6,15.24702196
26,5,2011,31.0958525345622,19.4,0,13.76655511
27,5,2011,30.8958525345622,20.6,0,19.29842016
28,5,2011,28.6958525345622,20,0,10.52648268
29,5,2011,31.6958525345622,19,0,19.25341451
30,5,2011,32.2958525345622,19.17968238,0,19.66826023
31,5,2011,30.4958525345622,19.2,0,12.81782732
1,6,2003,29.89883268,20,13.9,16.28803712
2,6,2003,29.59839772,17.8,7.1,14.67689187
3,6,2003,29.28634234,17.2,1.5,14.80761835
4,6,2003,32.48597057,18.8,5.5,11.75555101
5,6,2003,32.99053212,18.8,0.8,8.854415791
6,6,2003,30.69935776,18.4,0,15.9236134
7,6,2003,31.8517591,19,0,12.73633528
8,6,2003,30.40276559,18.6,0,15.46593512
9,6,2003,29.7041479,19.6,0,13.87006346
10,6,2003,29.6052584,17,1,20.91436196
11,6,2003,28.70041119,18,3.3,8.81695092
12,6,2003,27.50673759,18,0,14.70627095
13,6,2003,27.78113737,18.6,6.1,11.53726287
14,6,2003,27.33722118,19,3,17.99368069
15,6,2003,30.30023783,18.2,0.5,12.38759055
16,6,2003,26.48009196,18.8,14,14.96503494
17,6,2003,31.90075637,18,3,10.80054605
18,6,2003,31.8159906,15.6,4.2,11.65740256
19,6,2003,32.4813272,14,1,16.52744987
20,6,2003,34.18272953,16.2,0,11.65175917
21,6,2003,33.99549254,17,0,10.50359735
22,6,2003,32.37176373,16.4,28,15.37285122
23,6,2003,32.81590457,16,0,17.80678525
24,6,2003,31.41620092,16,0,13.22265318
25,6,2003,30.59992203,15.8,0,15.65802998
26,6,2003,33.2211077,15,0,17.66467781
27,6,2003,33.13427024,15.2,0,17.66676511
28,6,2003,29.54663625,16,0,12.36750825
29,6,2003,31.01900342,16.2,1.5,16.52678242
30,6,2003,31.95137821,15.8,6.4,13.08998184
1,7,1991,30.6,18.6,0,15.10183977
2,7,1991,30.8,20,0,17.25933665
3,7,1991,30.6,19.6,0,12.52919802
4,7,1991,29.6,19.8,7,8.800532609
5,7,1991,29.6,19.8,21,9.379194637
6,7,1991,29,18.2,8,12.11552562
7,7,1991,29.6,18.2,0,8.813264651
8,7,1991,30.6,19.4,0,8.818201315
9,7,1991,30.6,20,0,20.20473906
10,7,1991,30.8,20,0,14.45194265
11,7,1991,31.8,19.2,0,15.90529083
12,7,1991,30.8,19,0,13.02920967
13,7,1991,31,18.4,0,18.82108551
14,7,1991,32,17.2,0,21.2965685
15,7,1991,31,18,0,17.26083834
16,7,1991,32.4,19.2,0,17.13161976
17,7,1991,32,17.4,3,19.46948233
18,7,1991,31.2,19,0,15.27606658
19,7,1991,34.4,18.4,0,21.83512292
20,7,1991,30,18,0,8.901061554
21,7,1991,31.2,19,0,10.5129169
22,7,1991,33,18.8,0,22.63537835
23,7,1991,33.8,18.4,0,23.53755662
24,7,1991,30.8,18.6,31,8.936554237
25,7,1991,31.6,18.6,0,15.97623894
26,7,1991,31,18,0,14.08821818
27,7,1991,30.6,19,0,13.37028746
28,7,1991,31.6,18,0,15.00324313
29,7,1991,31.40179184,18.8,0,16.49347306
30,7,1991,29.6,19.4,19.3,11.79576055
31,7,1991,24,19,6.9,9.004621568
1,8,1990,33.6,16.8,0,24.53736727
2,8,1990,32.4,18.6,0,14.65040874
3,8,1990,32.6,18,0,21.78419538
4,8,1990,33.2,19,0,20.62464478
5,8,1990,33.6,18.8,0,20.65114105
6,8,1990,33.6,17.4,0,22.91071488
7,8,1990,34.2,19.4,0,18.61718839
8,8,1990,33,19,0,22.07440983
9,8,1990,33.2,19.4,0,22.70079189
10,8,1990,31.2,19,0,11.05297547
11,8,1990,34.8,18.8,0,24.25810104
12,8,1990,33.4,19,0,22.93795703
13,8,1990,32,19,17,14.84916202
14,8,1990,31.3,19.2,0,11.7055375
15,8,1990,30.6,17.6,0.5,19.10469258
16,8,1990,33.6,19.2,36,23.50469207
17,8,1990,33.4,19.4,0,24.288679
18,8,1990,31.8,19.2,0,11.30276304
19,8,1990,33.6,19,0,20.86083624
20,8,1990,34.8,19.4,0,17.09134107
21,8,1990,34.2,19.2,0,11.94474828
22,8,1990,34.2,17.8,0,18.6486694
23,8,1990,34,17.8,0,20.95223605
24,8,1990,34.2,17.4,2,23.26067449
25,8,1990,34.2,17.2,4,21.45271498
26,8,1990,31,18.4,4,16.73675747
27,8,1990,32,18.2,6,20.88203956
28,8,1990,29.6,18.8,0,13.55076714
29,8,1990,29,17.8,9,17.08712875
30,8,1990,31.2,19.2,0,16.94748556
31,8,1990,32,18.8,0,22.48958806
